English,Image,Audio,Type,Word_1,Word_2,Word_3,Word_4,Word_Example_1,Word_Example_2,Word_Example_3,Word_Example_4,Arabic,Chinese_HK,Chinese_CH,Chinese_TW,French,Dutch,German,Greek,Hindi,Indonesian,Italian,Japanese,Korean,Malay,Polish,Portuguese_BR,Portuguese_PT,Russian,Spanish,Thai,Vietnamese,Word_Example_1_Audio,Word_Example_2_Audio,Word_Example_3_Audio,Word_Example_4_Audio,Tag
So we sailed 200 miles further south to where the seas were calm<br>and ran the entire 26-mile marathon<br>on the boat.,"<img src=""eight_traits_of_successful_people_023.jpg"">",[sound:eight_traits_of_successful_people_023.wav],So we sailed 200 miles further south to where the seas were calm and ran the entire 26mile marathon on the boat,sailed 200 miles further south: traveled by ship long distance,seas were calm: waters without turbulence,ran the entire marathon: completed the whole race,,They sailed 200 miles further south to escape the storm.,"Luckily, the seas were calm that morning.",He ran the entire marathon despite an injury.,,لذا أبحرنا مسافة 200 ميل جنوبًا حيث كانت الأمواج هادئة<br>وركضنا الماراثون ذو 26-ميل كاملًا<br>على متن القارب,,于是我们又向南航行了200里到达了一片风平浪静的海域<br>然后。。。在船上。。跑完了全程26里的马拉松,所以，我們往南駛到 兩百公尺以外平靜的海面上<br>並開始全程26英哩的馬拉松<br>就在船上跑,"On a navigué 320 km vers le Sud, vers des eaux plus calmes.<br>On a couru les 42 km sur le bateau.",twee normale foto situaties weer kon en<br>hennie entire 20 x molair van<br>om de boot voor 120 philips van de,"Also segelten wir 320 km weiter südlich, wo das Meer ruhig war,<br>und liefen den 42-Kilometer-Marathon<br>auf dem Schiff.",,,Jadi kami berlayar 200 mil ke selatan di mana lautnya lebih tenang<br>dan menuntaskan 26 mil lari maraton<br>di atas kapal.,"Così abbiamo navigato più a sud, dove le acque erano più calme<br>e abbiamo corso la nostra maratona<br>sulla barca.",そこで 350キロほど南の 穏やかな海へと移動し<br>42キロのマラソンを<br>船の上で完走しました,그래서 320킬로 더 남쪽으로 항해해서 바다가 고요한 곳으로 가서<br>전체 42킬로 마라톤을<br>배위에서 뛰었습니다.,,"Popłynęliśmy 320 kilometrów na południe, gdzie morze było spokojniejsze,<br>i przebiegliśmy cały 42-kilometrowy maraton na statku.","Então navegamos mais 320km para o sul, onde o mar estava calmo,<br>e corremos a maratona inteira de 42km<br>dentro do navio.",Andámos mais 200 milhas para sul onde o mar estava calmo<br>e corremos toda a maratona de 42 quilómetros<br>no barco.,"Мы отплыли на 300 с лишним км дальше на юг, где море было спокойнее,<br>и пробежали марафон в 42 км<br>на корабле.",Así navegamos 320 km hacia el sur donde el mar estaba en calma<br>y corrimos todo el maratón de 42 km<br>en el barco.,เราจึงเดินเรือลงใต้ไปอีก 200 ไมล์ ไปสู่ท้องทะเลที่สงบ<br>และวิ่งมาราธอนเต็ม 26 ไมล์<br>บนเรือ,"Vậy nên, chúng tôi đi thuyền hơn 300 km về phía Nam,<br>đến vùng biển tĩnh và chạy hơn 40 km còn lại trên thuyền.",[sound:hypertts-2bd3650ee54774f92def50962f09dc62909e7751f53b82c893241af2.mp3],[sound:hypertts-5020ff89a33bef9be960af88ae757978e8ae6658ce70997e25b13fab.mp3],[sound:hypertts-2e8f29d60de0fbea2cfe60bb90fd6e2dc90ddfd46e483db7caff8fa1.mp3],,eight_traits_of_successful_people ted-ed
422 laps around the deck of that little boat.,"<img src=""eight_traits_of_successful_people_024.jpg"">",[sound:eight_traits_of_successful_people_024.wav],422 laps around the deck of that little boat,laps around: completing circuits or rounds of something,deck: flat surface of a ship,,,The athlete jogged 20 laps around the stadium before the sun rose.,We stood on the upper deck to watch the dolphins swim alongside the ship.,,,422 لفة حول سطح القارب الصغير,,在小小的船的甲板上，跑了整整422圈,在小船上的甲板上 來回跑了422圈,"422 tours, sur le pont du bateau.",,422 Runden auf dem Deck dieses kleinen Schiffs.,,,422 putaran di atas dek kapal kecil.,422 giri intorno al ponte di quella piccola barca.,小さな船のデッキを 422週したんです,그렇게 작은 배의 갑판을 422바퀴 돌았습니다.,,422 okrążenia wokół pokładu tej małej łódki.,422 voltas no deque daquele barquinho.,422 voltas ao convés daquele pequeno barco.,422 круга на палубе небольшого корабля.,422 vueltas alrededor de la cubierta de la pequeña embarcación.,422 รอบบนดาดฟ้าเรือเล็ก ๆ นั่น,422 vòng quanh thân máy của thuyền nhỏ.,[sound:hypertts-c32be18c8148f5a172cd3e435ee51445cf70306734d1d54d9af00381.mp3],[sound:hypertts-6921cf52fab01e7518d650ed48edd2699e4073f4c94105e4964df33f.mp3],,,eight_traits_of_successful_people ted-ed
"My wife and I have also climbed two of the world's seven summits,<br>the highest mountains on each continent.","<img src=""eight_traits_of_successful_people_025.jpg"">",[sound:eight_traits_of_successful_people_025.wav],My wife and I have also climbed two of the worlds seven summits the highest mountains on each continent,the world's seven summits: famous mountaineering challenge (highest peak on each continent),"have climbed: present perfect, showing life experience",,,She dreams of one day climbing all Seven Summits before turning 50.,"I have climbed Mount Fuji twice, and each time was unforgettable.",,,تسلقنا أنا وزوجتي أيضًا اثنين من أعلى القمم السبعة في العالم<br>أعلى الجبال في كل قارة,,我的妻子和我还攀爬了世界7大高峰中的两个<br>分别是在两个大洲上的最高峰,除此之外，我和妻子也爬過 世界七大高峰的其中兩座,"Avec ma femme, on a escaladé deux des plus hauts sommets au monde,<br>les plus hautes montagnes de chaque continent.",myfly was een computer of seven summits<br>de hij 's morgens en niets kan je de,"Meine Frau und ich erklommen auch 2 der ""Seven Summits"",<br>die höchsten Gipfel eines jeden Kontinents.",,,"Saya dan istri juga telah mendaki dua dari tujuh puncak dunia,<br>gunung tertinggi di setiap benua.",Mia moglie ed io abbiamo scalato due delle vette<br>più alte del mondo,妻と一緒に 七大陸最高峰のうちの<br>アメリカ大陸最高峰 アコンカグア,제 아내와 저는 각 대륙의 가장 높은 산인<br>세계 7개 정상 중 2개에 올랐어요.,,"Razem z żoną zdobyliśmy dwa z siedmiu szczytów Korony Ziemi,<br>najwyższych szczytów na każdym kontynencie.","Minha esposa e eu também escalamos dois dos 7 cumes,<br>as maiores montanhas em cada continente.","Com a minha mulher, escalámos dois dos sete cumes mundiais,<br>as montanhas mais altas de cada continente.","Мы с женой также поднялись на две из семи мировых вершин,<br>самых высоких гор на каждом континенте.","Mi esposa y yo también hemos escalado dos de las siete cumbres,<br>las montañas más altas de cada continente.",ภรรยาและผมยังได้ปืน 2 ใน 7 ยอดเขาที่สูงที่สุดในโลก<br>เราปีนอะคอนคากัว ภูเขาที่สูงสุดในทวีปอเมริกา,Vợ tôi và tôi cũng đã chinh phục 2 trong 7 đỉnh cao ở mỗi lục địa.,[sound:hypertts-8d15f4656d9bc41ad0c0766378c34a271595dc685c267dceddbf4f02.mp3],[sound:hypertts-4c013db7cb17d46f56fe7e09c4ee1580a3bcabec54b0b2bed1506ff5.mp3],,,eight_traits_of_successful_people ted-ed
"We climbed Aconcagua, the highest mountain on the American continent,<br>and Kilimanjaro, the highest mountain in Africa.","<img src=""eight_traits_of_successful_people_026.jpg"">",[sound:eight_traits_of_successful_people_026.wav],We climbed Aconcagua the highest mountain on the American continent and Kilimanjaro the highest mountain in Africa,Aconcagua: tallest peak in South America,Kilimanjaro: tallest peak in Africa,,,Aconcagua is known for its harsh winds that test even skilled climbers.,Mount Kilimanjaro attracts thousands of trekkers from all over the world.,,,تسلقنا أكونكاغوا أعلى جبل في القارة الأمريكية<br>وكليمنجارو أعلى جبل في أفريقيا,,我们攀爬了美洲大陆上的最高峰----阿空加瓜山<br>还有非洲大陆上的最高峰---乞力马加罗山,其中一座是美洲最高的阿空加瓜峰<br>另一座是非洲之最的吉力馬扎羅山,"Aconcagua, le plus haut sommet sur le continent américain,<br>et le Kilimanjaro, le plus haut sommet en Afrique.",kleine dekking cargill de haisma manier<br>huisman in afrika,"WIr haben den Aconcagua bestiegen, den höchsten Berg Amerikas,<br>und den Kilimandscharo, den höchsten Berg Afrikas.",,,"Kami mendaki Aconcagua, gunung tertinggi di benua Amerika,<br>dan Kilimanjaro, gunung tertinggi di Afrika.","L' Aconcagua, nel continente americano<br>e il Kilimanjaro, la vetta più alta dell'Africa.",そして アフリカ大陸最高峰 キリマンジャロ,우리는 미국 대륙에서 가장 높은 산인 아콩카과와<br>아프리카에서 제일 높은 산인 킬리만자로를 등반했죠.,,"Wspięliśmy się na Akonkaguę, najwyższy szczyt w Ameryce,<br>i na Kilimandżaro, najwyższy szczyt Afryki.","Escalamos o Aconcágua, a maior montanha das Américas,<br>e o Kilimanjaro, a maior montanha da África.","Subimos a Aconcágua, a montanha mais alta do continente americano<br>e a Kilimanjaro, a montanha mais alta de África.","Мы были на самой высокой горе американского континента, Аконкагуа,<br>и на Килиманджаро  высшей точке Африки.","Subimos el Aconcagua, la montaña más alta del continente americano,<br>y el Kilimanjaro, la montaña más alta de África.",,"Chúng tôi leo lên Aconcagua, đỉnh núi cao nhất châu Mỹ<br>và Kilimanjaro, đỉnh cao nhất châu Phi.",[sound:hypertts-dd02d3bd187c88c2dae7c511c43b8ada962fac08eee3dec4066fea05.mp3],[sound:hypertts-ba4617c70fd9d551b4003fc413a8aa65e6ae3f2b8d992edc3257f028.mp3],,,eight_traits_of_successful_people ted-ed
"Well, to be honest, I puked my way to the top of Kilimanjaro,<br>I got altitude sickness.","<img src=""eight_traits_of_successful_people_027.jpg"">",[sound:eight_traits_of_successful_people_027.wav],Well to be honest I puked my way to the top of Kilimanjaro I got altitude sickness,to be honest: phrase introducing candor,"puked my way to: informal, humorous expression of hardship",altitude sickness: illness from high elevation,,"To be honest, I wasn’t prepared for how difficult the exam would be.",He puked his way through the marathon but still managed to finish.,"Many climbers suffer altitude sickness above 3,000 meters.",,حسنا، لأكون صادقًا، لقد تقيئت طوال الطريق إلى قمة كيليمنجارو<br>عانيت من داء المرتفعات,,呃。。。坦诚的说，我在登顶乞力马加罗山的路上吐了<br>我犯了高原反应,我得向你們坦白<br>就因為高山症吐得亂七八糟,Je dois vous avouer que j'ai vomi pendant toute l'ascension du Kilimanjaro.<br>J'ai le mal de l'altitude.,wel de be honest hij roept mijn word het,"Ehrlich gesagt habe ich mich bis zum Gipfel des Kilimanjaro öfter übergeben.<br>Ich bekam die Höhenkrankheit, aber kein Mitgefühl von meiner Frau.",,,"Sebetulnya, saya muntah sepanjang pendakian ke puncak Kilimanjaro,<br>saya mabuk ketinggian. Istri saya tidak menghiraukan;","In realtà, ho vomitato scalando il Kilimanjaro.<br>Soffrivo per l'alta quota. Mia moglie non è stata comprensiva:",正直なところ キリマンジャロでは 登る途中で吐いてしまいました<br>高山病にかかったのに 妻は同情もしてくれず,솔직히 말하면 저는 킬리만자로 꼭대기로 가는 길에 토했습니다.<br>고산병에 걸렸는데 아내는 조금도 동정해주지 않았어요.,,Szczerze mówiąc na Kilimandżaro wymiotowałem jak kot.<br>Miałem chorobę wysokościową.,"Bem, para ser honesto, eu vomitei até o topo do Kilimanjaro,<br>fiquei com hipobaropatia. Minha mulher não teve pena de mim;","Para ser sincero, vomitei durante toda a subida ao Kilimanjaro.<br>Fiquei com mal da montanha,","Честно говоря, меня тошнило на пути к вершине Килиманджаро,<br>у меня была горная болезнь. Жена не проявила ко мне сочувствия.","Para ser honesto, vomité en el camino a la cima del Kilimanjaro,<br>Tuve mal de altura. Mi esposa no empatizó conmigo;",ซึ่งความจริงแล้ว ผมถูลู่ถูกังไปตลอด จนถึงยอดเขาคีรีมันจาโร<br>ผมป่วยจากระดับความสูง และภรรยาผมก็ไม่ใยดี,"Thành thực mà nói, tôi đã nôn mửa trên đường lên Kilimanjaro,<br>say độ cao, và không nhận được sự thông cảm từ vợ,",[sound:hypertts-d4080195424ddfd1d0f19233ccb27e2a9ee77da4ae2cebe508a71318.mp3],[sound:hypertts-b27c043867b57ba06dd6d97fb95638578705ac15c986a2a353127d58.mp3],[sound:hypertts-6669c53ccbf1904ee327d1c1edc44e54947f8b1b184c4a8be6242f14.mp3],,eight_traits_of_successful_people ted-ed
I got no sympathy from my wife.,"<img src=""eight_traits_of_successful_people_028.jpg"">",[sound:eight_traits_of_successful_people_028.wav],I got no sympathy from my wife,got no sympathy: phrase showing lack of compassion from others,,,,"After missing the deadline, he got no sympathy from his manager.",,,,ولم أحصل على أي تعاطف من زوجتي,,然而我并没有从我妻子那里得到同情,我的妻子卻無情撇下我,Ma femme n'a eu aucune compassion pour moi.,kan nooit empathie for my she pas mee in,,,,,,,,,"Żona nie okazała współczucia, minęła mnie i zrobiła rundę wokół szczytu,",,a minha mulher não teve pena de mim.,,,,,[sound:hypertts-000e845ec28d00a97e083eeead355a30a55eda1e116e5a363e15dda6.mp3],,,,eight_traits_of_successful_people ted-ed
She passed me and did a lap around the top<br>while I was still struggling up there.,"<img src=""eight_traits_of_successful_people_029.jpg"">",[sound:eight_traits_of_successful_people_029.wav],She passed me and did a lap around the top while I was still struggling up there,did a lap around: completed a circuit,struggling up: fighting to make progress,,,The champion jogged a victory lap around the stadium.,He was struggling up the steep staircase with heavy boxes.,,,فقد تجاوزتني وقامت بلفة حول القمة<br>بينما لازلت أعاني للوصول لأعلى,,当我在那里挣扎的时候,在我痛苦得不得了時， 她已經在山頂上跑了一圈,"Elle m'a dépassé et a fait le tour du sommet,<br>pendant que je grimpais.",,"Sie überholte mich und drehte oben eine Runde, während ich mich hochkämpfte.",,,dia mendahului saya dan berlari mengitari puncak saat saya sedang kepayahan.,mi ha sorpassato e ha fatto il giro della vetta mentre io ero in difficoltà.,苦しんでいるのを横目に さっさと先に行って山頂を一周してました,아내는 제가 올라가면서 고생하는 동안 저를 지나 꼭대기를 한 바퀴 돌았어요.,,kiedy ja walczyłem na dole.,ela me passou e fez uma volta no cume enquanto eu estava lutando lá em cima.,"Ultrapassou-me e deu uma volta lá em cima,<br>enquanto eu me debatia para lá chegar.","Она прошла мимо меня и сделала круг на вершине, пока я боролся внизу.","se adelantó y dio una vuelta por la cumbre, mientras yo todavía luchaba por llegar.",เธอแซงผมขึ้นไปจนถึงยอด ขณะที่ผมยังค้างเต่อกลางทาง,cô ấy vượt tôi và làm một vòng quanh đỉnh trong khi tôi vẫn đang cố leo lên.,[sound:hypertts-50b953a9b20c9a126a955ac0a030f6d270142610027000984dcaba0d.mp3],[sound:hypertts-fd73307c906c1bf0313a9d6500217ec33490adb1e3478c6e4cdd878d.mp3],,,eight_traits_of_successful_people ted-ed
"In spite of that, we're still together and have been for over 35 years.","<img src=""eight_traits_of_successful_people_030.jpg"">",[sound:eight_traits_of_successful_people_030.wav],In spite of that were still together and have been for over 35 years,In spite of: phrase showing contrast with unexpected result,have been for over 35 years: present perfect continuous duration,,,"In spite of the rain, the concert went on as planned.",They have been married for over 40 years and still travel together.,,,على الرغم من ذلك، نحن لانزال معًا وقد أتممنا أكثر من 35 عامًا,,尽管如此，我们还是共同度过了超过35个春秋,儘管如此，我們仍然在一起,"Néanmoins, nous sommes toujours ensemble, depuis 35 ans.",in spanje bij voorstel together and,Dennoch sind wir noch immer zusammen und das seit über 35 Jahren.,,,"Meski demikian, kami masih bersama dan telah bersama selama lebih dari 35 tahun.","Nonostante ciò, siamo ancora insieme, da 35 anni.",それでも私たちは 35年以上も連れ添ってきました,그럼에도 우리는 여전히 함께 35년 이상 함께 하고 있습니다.(박수),,"Mimo to nadal jesteśmy razem, już od 35 lat.","Apesar disso, nós ainda estamos juntos depois de 35 anos.","Apesar disso, ainda estamos juntos, há mais de 35 anos.","Несмотря на это, мы всё ещё вместе вот уже 35 лет.","A pesar de ello, seguimos juntos ya desde más de 35 años.",แต่กระนั้น เราก็ยังอยู่ด้วยกัน และเป็นเช่นนั้นมาตลอด 35 ปี,"Mặc dù vậy, chúng tôi vẫn bên nhau được 35 năm.",[sound:hypertts-0936a10ff18b7deb38512cb3234714a0c57c980974c891fe9519da35.mp3],[sound:hypertts-cee2b78f57e57ad3b023df96b9734e41a936d62e113a7aefdd753c0d.mp3],,,eight_traits_of_successful_people ted-ed
(Applause)<br>I'd say that's a success these days.,"<img src=""eight_traits_of_successful_people_031.jpg"">",[sound:eight_traits_of_successful_people_031.wav],Id say thats a success these days,I'd say: polite way of giving opinion,these days: expression referring to current times,,,I’d say the new policy is working better than expected.,"These days, people rely heavily on smartphones for daily tasks.",,,(تصفيق)<br>فهذا يعتبر نجاح في هذه الأيام,,【鼓掌】<br>我不得我说这在当今时代也算是成功了吧,以現在來看，我認為這些也是一種成功,"(Applaudissements)<br>De nos jours, voilà une belle réussite !",got to suggest idee zoals i did you know,"(Applaus)<br>Ich denke, dass das heutzutage auch schon einen Erfolg darstellt.",,,Menurut saya sekarang itu adalah sebuah keberhasilan.<br>Menurut saya sekarang itu adalah sebuah keberhasilan.,Di questi tempi è un successo.<br>Di questi tempi è un successo.,近頃ではこれも 成功と呼べるかもしれません<br>近頃ではこれも 成功と呼べるかもしれません,요즘에는 그것이 성공이죠. (박수)<br>요즘에는 그것이 성공이죠. (박수),,(Brawa)<br>Chyba w dzisiejszych czasach to sukces.,Eu diria que hoje em dia isso significa sucesso.<br>Eu diria que hoje em dia isso significa sucesso.,"(Aplausos)<br>Eu diria que é um êxito, hoje em dia.","Я бы сказал, это успех в наши дни.<br>Я бы сказал, это успех в наши дни.",Yo diría que eso es un éxito en estos días.<br>Yo diría que eso es un éxito en estos días.,ผมพูดเลยว่า มันคือความสำเร็จในชีวิตของผม,Tôi phải nói đó là thành công thời đấy.<br>Tôi phải nói đó là thành công thời đấy.,[sound:hypertts-e47ecb9b839009fa36c273b4e8b1e30677acf2b6f8a01cc3db81f86a.mp3],[sound:hypertts-1df8d0d4918a532c425e24ef36c70280bbf637905b4ea290200e0ee7.mp3],,,eight_traits_of_successful_people ted-ed
"So I said to the girl,<br>""Well, you know, I guess I have had some success.""","<img src=""eight_traits_of_successful_people_032.jpg"">",[sound:eight_traits_of_successful_people_032.wav],So I said to the girl Well you know I guess I have had some success,I guess: hedging phrase to show uncertainty/modesty,"have had some success: present perfect, modest achievement",,,I guess we’ll just have to wait for the final decision.,She has had some success in publishing her short stories.,,,"فقلت للفتاة<br>""حسنًا، أتعلمين، أعتقد أنه لدي بعض النجاحات""",,我对那个女孩儿说，<br>“好吧，我猜也许我获得了一些成功。”,所以，我對這個女孩說： 「我想我是有些成功的。」,J’ai répondu à cette jeune fille que j’avais taillé ma part de succès.<br>J’ai répondu à cette jeune fille que j’avais taillé ma part de succès.,jesse hexam succes meisjes uit oké sorry,"Ich sage dem Mädchen also:<br>""Weißt du, ich hatte doch ein wenig Erfolg.""",,,"Saya katakan kepada anak itu,<br>""Kamu tahu, sepertinya saya sukses dalam beberapa hal.""","Così ho detto alla ragazza,<br>""Sai, credo di avere avuto qualche successo.""",なので 少女に言ったんです<br>「そうだね いくつか成功もしてきたよ」と,"저는 소녀에게 말했어요.<br>""글쎄, 난 좀 성공했다고도 말할 수 있지.""",,"Powiedziałem dziewczynce,<br>że może jednak miałem pewne sukcesy.","Então eu disse para a garota:<br>""Sabe, eu acho que eu tive algum sucesso.""","Então, disse à rapariga:<br>""Sabes, acho que tenho tido algum êxito"".","Я сказал девочке:<br>«Кажется, у меня был успех».","Así que le dije a la chica,<br>""Bueno, creo que he tenido algo de éxito"".",คุณรู้ไหม จริง ๆ ผมก็มีความสำเร็จอยู่บ้าง,"Vậy nên tôi nói với cô bé gái:<br>""Chà, bác đoán là bác cũng đã có một vài thành công.""",[sound:hypertts-c53c4b018c4409753d546fde24c9c178c4bbd4f8f232253e5f83ba23.mp3],[sound:hypertts-a3e4744812ade01df8be565e26a0b9785a930f8087d232a53a4044e1.mp3],,,eight_traits_of_successful_people ted-ed
"And then she said, ""Okay, so are you a millionaire?""","<img src=""eight_traits_of_successful_people_033.jpg"">",[sound:eight_traits_of_successful_people_033.wav],And then she said Okay so are you a millionaire,millionaire: someone with wealth exceeding one million in assets,,,,Becoming a millionaire before 30 is rare but not impossible.,,,,"وثم قالت: ""حسنًا، فهل أنت مليونير؟""",,然后她问， “好吧，那你是一个百万富翁吗？”,然後她說：「是嗎，所以你很有錢囉?」,"Du tac au tac, elle m’a demandé si j’étais millionnaire.",,"Dann sagte sie: ""Okay. Also bist du Millionär?""",,,"Lalu dia berkata, ""Apakah kamu seorang jutawan?""","E lei mi ha detto, ""Allora sei un milionario?""",すると彼女は言います 「じゃあ 億万長者なの？」と,"그러자 그녀가 말했죠. ""좋아요. 당신은 백만장자인가요?""",,"Wtedy spytała: ""Czyli jesteś milionerem?"".","E então ela disse: ""Certo, então você é milionário?""","E ela disse: ""Ok, então, é um milionário?""",Она сказала: «Вы миллионер?»,"Y entonces ella dijo: ""Bueno, y ¿eres millonario?""","แล้วเธอก็พูดกลับมาว่า ""งั้นหรอ เช่นนั้นคุณคงเป็นเศรษฐี?""","và cô bé trả lời: ""Vậy bác có phải là triệu phú?""",[sound:hypertts-4c9169dc2510174bc8648e19980ddb2768083a74d68aa4e0e33c99c2.mp3],,,,eight_traits_of_successful_people ted-ed
"(Laughter)<br>Now, I didn't know what to say,<br>because when I grew up, it was bad manners to talk about money.","<img src=""eight_traits_of_successful_people_034.jpg"">",[sound:eight_traits_of_successful_people_034.wav],Now I didnt know what to say because when I grew up it was bad manners to talk about money,didn't know what to say: phrase for speechlessness,bad manners: socially impolite behavior,talk about money: culturally sensitive topic,,He didn’t know what to say when confronted with the sudden news.,It’s considered bad manners to interrupt when someone is speaking.,"In many cultures, people avoid talking about money with strangers.",,(ضحك)<br>الآن، لم أعرف ماذا أقول<br>لأنه في وقت نشأتي كان من سوء الأدب الحديث عن المال,,【大家都笑了笑】<br>现在，我也不知道该说什么了<br>因为从小长到大我就对谈论钱没什么好态度,這下子可問倒我了<br>這下子可問倒我了<br>因為我從小被教導，談錢是沒有禮貌的,"(Rires)<br>J’étais sans voix.<br>En fait, quand j’étais jeune, c’était impoli de parler argent.",nou je nooit is zij kiss my group is bij<br>nou je nooit is zij kiss my group is bij<br>manage to talk about money drie figuren,"Was sollte ich hier antworten?<br>Als ich aufwuchs, war es unhöflich über Geld zu reden.<br>Als ich aufwuchs, war es unhöflich über Geld zu reden.",,,"Saya tidak tahu harus berkata apa,<br>Saya tidak tahu harus berkata apa,<br>karena di jaman saya, tidak sopan membicarakan uang.","Non sapevo cosa dire,<br>Non sapevo cosa dire,<br>perché quando ero piccolo non era educato parlare di soldi.",さあ どう答えましょう<br>なぜって 昔はお金の事を話すなんて マナー違反でしたからね<br>なぜって 昔はお金の事を話すなんて マナー違反でしたからね,저는 뭐라 말할지 몰랐습니다.<br>저는 뭐라 말할지 몰랐습니다.<br>제가 자랄 때는 돈얘기를 하는 게 나쁜 태도였으니까요.,,"Nie wiedziałem, co jej powiedzieć,<br>Nie wiedziałem, co jej powiedzieć,<br>bo za moich czasów nie wypadało mówić o pieniądzach.","Eu não soube o que dizer,<br>Eu não soube o que dizer,<br>porque no meu tempo, era falta de educação falar sobre dinheiro.","(Risos)<br>Fiquei sem saber o que dizer,<br>porque, quando eu era miúdo era indelicado falar de dinheiro.","Я не знал, что ответить,<br>Я не знал, что ответить,<br>ведь когда я рос, задавать вопросы о деньгах считалось дурным тоном.","Ahora, yo no sabía qué decir,<br>Ahora, yo no sabía qué decir,<br>porque cuando crecí, era de mala educación hablar de dinero.",ตอนนั้นผมไม่รู้จะพูดอะไรต่อ<br>เพราะว่า ในช่วงเวลาที่ผมเติบโตขึ้นมา การพูดเรื่องเงินทอง ออกจะดูเสียมารยาท,"Lúc đó, tôi đã không biết phải nói gì,<br>vì khi trưởng thành, thật kì cục khi nói về tiền bạc.",[sound:hypertts-426840821280922ba52b0718a16be20938da5fddd78538e0a77b5dc9.mp3],[sound:hypertts-88c19517aadfac2bbd89a19e82fd06b9dcb08f8b6e6103949fb0e15f.mp3],[sound:hypertts-7bf06065637c018b0c382904a4f7b335049935c27f855a6be05b66cd.mp3],,eight_traits_of_successful_people ted-ed
"But I figured I'd better be honest,<br>and I said, ""Yeah. I'm a millionaire.","<img src=""eight_traits_of_successful_people_035.jpg"">",[sound:eight_traits_of_successful_people_035.wav],But I figured Id better be honest and I said Yeah Im a millionaire,figured: informal “thought/decided”,I'd better: phrase meaning “it’s advisable/necessary”,be honest: speak truthfully,,I figured she was late because of the traffic.,You’d better finish your assignment before the deadline.,"To be honest, I don’t enjoy that kind of movie.",,"ولكني فضلت أن أكون صادقًا<br>وقلت، ""نعم، أنا مليونير",,但是我认为我应该实话实说<br>我说，“是的，我是一个百万富翁。,但我認為據實以答或許比較好<br>所以我說：「是阿，我有,Mais j’ai opté pour la sincérité.<br>Je lui affirmé que c'était le cas.,baby jongens naar cydia aan een,"Aber ich wollte ehrlich sein<br>und sagte: ""Ja, ich bin ein Millionär.",,,"Tapi saya pikir sebaiknya saya jujur,<br>dan saya bilang, ""Ya. Saya seorang jutawan.","Ma ho ritenuto fosse meglio essere onesti,<br>e ho detto, ""Sì, sono milionario,",でも 正直に伝えた方がいいと思い<br>「そうだよ 億万長者だよ」と言いました,"하지만 솔직한 게 낫다고 생각하고<br>제가 말했죠. ""그래. 나는 백만장자야.",,"Zdobyłem się jednak na szczerość i przyznałem, że jestem milionerem.","Mas achei melhor ser honesto,<br>e disse: ""Sim, sou milionário.","Mas achei que era melhor ser honesto e disse:<br>""Sim, sou um milionário.","Я считал, что лучше быть честным,<br>и ответил: «Да, я миллионер. Не знаю, как это произошло.","Pero pensé que sería mejor ser honesto,<br>y le dije: ""Sí. Soy millonario.","ผมจึงบอกเธอว่า ""ใช่ ผมเป็นเศรษฐี""<br>ผมจึงบอกเธอว่า ""ใช่ ผมเป็นเศรษฐี""","Nhưng tôi nghĩ tốt hơn nên thành thực,<br>nên nói: ""Ừ, bác là một triệu phú.",[sound:hypertts-61095d2c711567ee2f5075a8ba905ae4e7dc66b16ced9ab291797c35.mp3],[sound:hypertts-f3fe051ef66002637fcf6934a71370fe3d09cf2b667a28eea5844b4a.mp3],[sound:hypertts-5357e2c6a9ce286d3742940d8fae70709a71022acbdad832ece1eb94.mp3],,eight_traits_of_successful_people ted-ed
But I don't know how it happened.,"<img src=""eight_traits_of_successful_people_036.jpg"">",[sound:eight_traits_of_successful_people_036.wav],But I dont know how it happened,don't know how it happened: phrase showing confusion/surprise,,,,"I don’t know how it happened, but my keys just vanished.",,,,ولكني لا أعرف كيف حدث ذلك,,但是我不自己都不知道那是怎么发生的,但我不太清楚怎麼成為一個富翁,Je n’avais aucune idée comment c’était arrivé.,brad onderhouden helpen en hebben we een,"Aber ich weiß nicht, warum. Ich war nie hinter Geld her",,,"Tapi entah bagaimana. Saya tidak pernah mengejar uang,","ma non so come sia successo, non ho mai corso dietro ai soldi,",「でもどうしてなれたのか分からない 儲けようなんてしてないし,하지만 그리 된 방법은 몰라. 나는 돈을 뒤쫓지 않았고,,"Ale nie wiem, jak to się stało, bo nigdy nie goniłem za pieniędzmi,","Mas não sei como aconteceu, nunca busquei o dinheiro,","""Mas não sei como é que isso aconteceu.","Я никогда не гнался за деньгами,","Pero yo no sé cómo sucedió. Nunca fui tras el dinero,",แต่ผมไม่รู้หรอก ว่าเกิดขึ้นได้อย่างไร ผมไม่เคยต้องการเงินทอง,"Nhưng bác không biết tại sao. Bác chưa bao giờ đi theo đồng tiền,",[sound:hypertts-756e00ec88db18d127ee29ce7558950307a015ccbe4037ce72f85f39.mp3],,,,eight_traits_of_successful_people ted-ed
